sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.702105
sample00000,93214,cd8_t_cell,24440,26.219237
sample00000,93214,cd4_t_cell,20491,21.982749
sample00000,93214,nk_cell,13864,14.873302
sample00000,93214,monocyte,23511,25.222606
sample00001,100824,b_cell,6777,6.721614
sample00001,100824,cd8_t_cell,19407,19.248393
sample00001,100824,cd4_t_cell,33459,33.185551
sample00001,100824,nk_cell,18170,18.021503
sample00001,100824,monocyte,23011,22.822939
sample00002,92822,b_cell,9794,10.551378
sample00002,92822,cd8_t_cell,22940,24.713969
sample00002,92822,cd4_t_cell,24274,26.151128
sample00002,92822,nk_cell,17482,18.833897
sample00002,92822,monocyte,18332,19.749628
sample00003,93160,b_cell,10081,10.821168
sample00003,93160,cd8_t_cell,20271,21.759339
sample00003,93160,cd4_t_cell,36157,38.811722
sample00003,93160,nk_cell,14041,15.071919
sample00003,93160,monocyte,12610,13.535852
sample00004,107903,b_cell,4372,4.051787
sample00004,107903,cd8_t_cell,33778,31.304042
sample00004,107903,cd4_t_cell,38293,35.488355
sample00004,107903,nk_cell,16527,15.316534
sample00004,107903,monocyte,14933,13.839282
sample00005,105359,b_cell,15431,14.646115
sample00005,105359,cd8_t_cell,31940,30.315398
sample00005,105359,cd4_t_cell,30805,29.238129
sample00005,105359,nk_cell,11404,10.823945
sample00005,105359,monocyte,15779,14.976414
sample00006,99774,b_cell,5897,5.910357
sample00006,99774,cd8_t_cell,31296,31.366889
sample00006,99774,cd4_t_cell,28319,28.383146
sample00006,99774,nk_cell,12656,12.684667
sample00006,99774,monocyte,21606,21.65494
sample00007,98424,b_cell,10403,10.569577
sample00007,98424,cd8_t_cell,13504,13.720231
sample00007,98424,cd4_t_cell,33870,34.412338
sample00007,98424,nk_cell,22616,22.978135
sample00007,98424,monocyte,18031,18.319719
sample00008,90353,b_cell,8829,9.771673
sample00008,90353,cd8_t_cell,26215,29.013979
sample00008,90353,cd4_t_cell,21307,23.581951
sample00008,90353,nk_cell,17624,19.505716
sample00008,90353,monocyte,16378,18.126681
sample00009,95821,b_cell,7650,7.983636
sample00009,95821,cd8_t_cell,33334,34.787781
sample00009,95821,cd4_t_cell,21097,22.017094
sample00009,95821,nk_cell,18064,18.851817
sample00009,95821,monocyte,15676,16.359671
sample00010,107537,b_cell,13203,12.277635
sample00010,107537,cd8_t_cell,21339,19.843403
sample00010,107537,cd4_t_cell,27873,25.919451
sample00010,107537,nk_cell,13209,12.283214
sample00010,107537,monocyte,31913,29.676297
sample00011,89815,b_cell,10621,11.825419
sample00011,89815,cd8_t_cell,19786,22.029728
sample00011,89815,cd4_t_cell,29391,32.723933
sample00011,89815,nk_cell,13520,15.053165
sample00011,89815,monocyte,16497,18.367756
sample00012,109579,b_cell,14128,12.892981
sample00012,109579,cd8_t_cell,21720,19.821316
sample00012,109579,cd4_t_cell,40320,36.795371
sample00012,109579,nk_cell,14609,13.331934
sample00012,109579,monocyte,18802,17.158397
sample00013,109488,b_cell,10681,9.755407
sample00013,109488,cd8_t_cell,19994,18.261362
sample00013,109488,cd4_t_cell,31697,28.950205
sample00013,109488,nk_cell,25043,22.872826
sample00013,109488,monocyte,22073,20.1602
sample00014,92904,b_cell,6113,6.57991
sample00014,92904,cd8_t_cell,25851,27.825497
sample00014,92904,cd4_t_cell,27223,29.302291
sample00014,92904,nk_cell,9254,9.96082
